1,15,2,500.00
1,28,3,600.00
1,13,3,360.00
1,30,7,1260.00
1,26,6,450.00
1,29,1,150.00
1,38,10,3500.00
1,39,4,2400.00
1,9,10,4000.00
1,32,10,800.00
1,14,2,180.00
1,7,3,450.00
1,2,5,129.95
1,22,6,210.00
1,3,10,755.00
1,35,10,300.00
1,49,7,245.00
1,40,9,1350.00
1,20,1,15.00
1,8,3,360.00
1,47,2,130.00
1,24,9,810.00
1,11,8,1440.00
1,43,7,105.00
1,5,6,5999.94
1,27,9,495.00
1,41,4,20.00
1,46,2,80.00
1,16,4,320.00
1,19,7,210.00
1,42,8,96.00
1,48,1,30.00
1,18,7,455.00
1,34,5,225.00
1,12,7,248.50
1,21,6,150.00
1,25,10,600.00
1,44,5,50.00
1,6,6,3900.00
1,17,10,1500.00
1,37,5,2500.00
1,10,8,480.00
1,45,1,20.00
1,33,2,120.00
1,23,8,400.00
1,31,1,120.00
1,50,7,175.00
1,36,8,5600.00
1,4,5,225.00
1,1,1,1200.00
2,15,10,2500.00
2,28,7,1400.00
2,13,5,600.00
2,30,6,1080.00
2,26,5,375.00
2,29,7,1050.00
2,38,2,700.00
2,39,10,6000.00
2,9,5,2000.00
2,32,2,160.00
2,14,5,450.00
2,7,8,1200.00
2,2,2,51.98
2,22,9,315.00
2,3,5,377.50
2,35,4,120.00
2,49,1,35.00
2,40,3,450.00
2,20,5,75.00
2,8,7,840.00
2,47,9,585.00
2,24,1,90.00
2,11,2,360.00
2,43,1,15.00
2,5,10,9999.90
2,27,10,550.00
2,41,8,40.00
2,46,2,80.00
2,16,10,800.00
2,19,3,90.00
2,42,8,96.00
2,48,9,270.00
2,18,2,130.00
2,34,7,315.00
2,12,8,284.00
2,21,9,225.00
2,25,8,480.00
2,44,10,100.00
2,6,3,1950.00
2,17,2,300.00
2,37,6,3000.00
2,10,4,240.00
2,45,1,20.00
2,33,6,360.00
2,23,8,400.00
2,31,4,480.00
2,50,9,225.00
2,36,10,7000.00
2,4,4,180.00
2,1,10,12000.00
3,15,8,2000.00
3,28,10,2000.00
3,13,8,960.00
3,30,1,180.00
3,26,8,600.00
3,29,10,1500.00
3,38,10,3500.00
3,39,7,4200.00
3,9,2,800.00
3,32,1,80.00
3,14,1,90.00
3,7,2,300.00
3,2,8,207.92
3,22,6,210.00
3,3,5,377.50
3,35,8,240.00
3,49,10,350.00
3,40,10,1500.00
3,20,9,135.00
3,8,1,120.00
3,47,4,260.00
3,24,2,180.00
3,11,10,1800.00
3,43,4,60.00
3,5,8,7999.92
3,27,4,220.00
3,41,3,15.00
3,46,6,240.00
3,16,7,560.00
3,19,4,120.00
3,42,7,84.00
3,48,3,90.00
3,18,10,650.00
3,34,5,225.00
3,12,4,142.00
3,21,4,100.00
3,25,6,360.00
3,44,10,100.00
3,6,5,3250.00
3,17,4,600.00
3,37,6,3000.00
3,10,6,360.00
3,45,5,100.00
3,33,9,540.00
3,23,9,450.00
3,31,10,1200.00
3,50,4,100.00
3,36,8,5600.00
3,4,6,270.00
3,1,2,2400.00
4,15,1,250.00
4,28,2,400.00
4,13,6,720.00
4,30,5,900.00
4,26,7,525.00
4,29,3,450.00
4,38,10,3500.00
4,39,10,6000.00
4,9,7,2800.00
4,32,1,80.00
4,14,4,360.00
4,7,3,450.00
4,2,2,51.98
4,22,2,70.00
4,3,6,453.00
4,35,7,210.00
4,49,3,105.00
4,40,10,1500.00
4,20,7,105.00
4,8,4,480.00
4,47,10,650.00
4,24,3,270.00
4,11,5,900.00
4,43,7,105.00
4,5,10,9999.90
4,27,7,385.00
4,41,6,30.00
4,46,5,200.00
4,16,9,720.00
4,19,4,120.00
4,42,4,48.00
4,48,8,240.00
4,18,4,260.00
